title;artist;top genre;year;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop
Salvatore;Lana Del Rey;art pop;2015;118;31;30;-10;12;12;281;68;3;61
All I Got;Said the Sky;edm;2018;145;58;33;-7;57;10;316;16;5;61
New Friends;Maty Noyes;electropop;2018;168;72;68;-5;3;59;191;3;21;60
Drugs;UPSAHL;indie electropop;2019;77;42;88;-9;6;32;156;35;17;60
MAYDAY;TheFatRat;deep dubstep;2018;150;56;42;-7;11;13;247;1;3;60
Price Tag;Jessie J;dance pop;2011;175;83;64;-4;28;69;223;3;18;60
Independent Women, Pt. 1;Destiny's Child;dance pop;2001;97;60;52;-4;18;92;222;39;26;60
Come Hang Out;AJR;modern rock;2017;91;73;61;-5;5;39;266;0;7;60
No One Like You;Scorpions;album rock;1982;118;62;51;-10;13;81;237;1;4;60
Breathe Me;Sia;australian dance;2004;120;62;55;-7;12;19;272;4;3;60
Overprotected - Radio Edit;Britney Spears;dance pop;2001;96;89;68;-2;42;85;199;4;7;59
Грустный дэнс (feat. Артем Качер);Artik & Asti;russian dance pop;2019;118;76;75;-4;34;47;218;14;22;59
Alarm;Anne-Marie;dance pop;2018;147;59;76;-5;18;81;206;8;23;59
Behind These Hazel Eyes;Kelly Clarkson;dance pop;2004;90;89;55;-5;20;43;199;0;4;59
Arrival of the Birds;The Cinematic Orchestra;downtempo;2008;173;14;18;-17;9;7;157;94;4;59
Between the Bars;Elliott Smith;alternative rock;1997;135;8;52;-24;11;35;141;94;6;59
7 Seconds (feat. Neneh Cherry);Youssou N'Dour;afropop;2004;154;70;68;-10;33;51;306;8;3;59
Alejandro;Lady Gaga;dance pop;2009;99;80;63;-7;36;37;274;0;5;59
If I Were a Boy;Beyoncé;dance pop;2008;90;52;63;-6;35;43;249;11;3;59
Misery;Maroon 5;pop;2010;103;81;70;-5;22;73;216;0;4;59
Lose Yourself;Eminem;detroit hip hop;2014;171;74;69;-5;37;6;321;1;27;58
Boom Clap;Charli XCX;candy pop;2014;92;91;66;-2;19;58;170;15;8;58
Left Outside Alone;Anastacia;dance pop;2004;103;75;66;-4;9;33;257;7;3;58
You Raise Me Up;Josh Groban;adult standards;2003;118;14;25;-12;11;10;292;67;4;58
Present Tense;Radiohead;alternative rock;2016;92;41;48;-12;11;34;307;91;3;58
Autumn Leaves - Deluxe Edition;Ed Sheeran;pop;2011;89;26;56;-13;12;43;201;89;3;58
No Roots;Alice Merton;modern rock;2017;116;66;86;-7;7;83;236;26;11;58
Girls (feat. Cardi B, Bebe Rexha & Charli XCX);Rita Ora;dance pop;2018;94;69;73;-4;10;42;221;2;5;58
In Your Eyes;Kylie Minogue;australian dance;2001;124;89;69;-6;7;71;198;13;7;58
L.A.LOVE (la la) [feat. YG];Fergie;dance pop;2017;101;48;51;-7;24;30;212;2;18;57
Il avait les mots;Sheryfa Luna;francoton;2007;86;70;62;-7;7;62;227;22;4;57
Dream;Imagine Dragons;modern rock;2014;143;51;35;-8;7;12;258;67;5;57
Another Love;Tom Odell;neo mellow;2013;123;54;45;-9;9;13;244;70;4;57
Fall In Line (feat. Demi Lovato);Christina Aguilera;dance pop;2018;123;63;39;-5;28;20;249;21;8;57
Любимка;NILETTO;russian hip hop;2019;130;77;85;-4;81;54;220;12;7;56
CRY;KAZKA;russian pop;2018;104;80;79;-4;4;60;225;18;4;56
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix;Bazzi vs.;dance pop;2018;122;86;69;-4;24;45;188;6;9;56
I Lost You;Dylan Scott;contemporary country;2017;130;61;50;-7;8;30;218;36;3;56
Broken;Lifehouse;alternative metal;2007;131;71;53;-6;19;49;286;9;4;56
If Everyone Cared;Nickelback;alternative metal;2005;132;87;52;-4;26;20;215;0;4;56
Je T’aime;Lara Fabian;french pop;1997;107;44;38;-7;13;15;261;75;3;56
Shirtsleeves;Ed Sheeran;pop;2014;107;76;75;-5;34;75;190;32;3;56
Turning Out;AJR;modern rock;2017;97;52;61;-6;14;46;261;17;4;56
Gotta Get Up - As heard in the Netflix series Russian Doll;Harry Nilsson;art rock;1971;175;44;42;-15;8;92;145;6;5;56
Dessert;Dawin;nyc pop;2015;97;73;87;-5;4;77;211;8;4;55
Big Girls Cry;Sia;australian dance;2015;162;59;47;-5;11;9;211;4;4;55
Together;The xx;downtempo;2013;96;32;60;-9;10;11;326;44;2;55
Honeymoon;Lana Del Rey;art pop;2015;75;27;17;-13;11;17;350;95;4;55
Family Portrait;P!nk;dance pop;2001;92;69;76;-5;57;73;297;3;5;55
Cola;CamelPhat;deep groove house;2017;122;74;71;-8;14;44;224;2;3;55
High Hopes;Kodaline;irish pop;2013;77;49;49;-6;19;22;230;58;3;55
Dare (La La La);Shakira;colombian pop;2014;128;73;79;-5;9;62;187;6;7;55
Rodeo Clowns;Jack Johnson;neo mellow;2003;91;83;85;-6;8;77;158;21;11;55
Под гипнозом;Artik & Asti;russian dance pop;2019;115;74;77;-5;26;29;209;25;15;54
Прятки;HammAli & Navai;russian dance pop;2019;72;56;63;-7;11;22;193;69;4;54
Everybody's Changing;Keane;neo mellow;2004;94;84;52;-4;10;46;215;0;3;54
Electric Shock;f(x);k-pop;2012;125;90;76;-2;49;54;197;9;3;54
Los Angeles;Sugarcult;emo;2006;155;82;51;-5;9;60;238;0;5;54
"Feel The Light - From The ""Home"" Soundtrack";Jennifer Lopez;dance pop;2015;156;60;47;-6;9;4;292;33;5;54
Carnival of Rust;Poets of the Fall;alternative metal;2006;91;59;49;-5;10;12;263;23;2;54
Book Of Love (feat. Polina);Felix Jaehn;dance pop;2018;125;84;67;-5;26;45;198;15;3;54
Wonderful Life;Hurts;metropopolis;2011;120;84;70;-7;18;41;254;17;6;54
Stay;Hurts;metropopolis;2011;156;72;45;-8;28;30;235;2;5;54
Drunk Groove;MARUV;eurovision;2017;112;64;86;-7;37;73;227;1;6;54
Frozen;Madonna;dance pop;2009;108;74;59;-8;18;29;379;51;3;54
Потрачу;Егор Крид;russian hip hop;2017;80;66;64;-5;34;43;185;10;11;53
Only Girl (In The World);Rihanna;barbadian pop;2010;126;71;79;-4;6;63;235;11;4;53
Terrence Loves You;Lana Del Rey;art pop;2015;102;25;30;-10;10;9;291;98;3;53
No Grass Today;AJR;modern rock;2017;92;55;70;-5;47;58;259;23;4;53
Objection (Tango);Shakira;colombian pop;2001;179;86;60;-5;2;71;223;1;7;52
Stereo Love;Edward Maya;dance pop;2013;127;78;78;-5;8;36;248;3;4;52
Миллион алых роз;Егор Крид;russian hip hop;2018;92;76;41;-6;10;37;191;1;13;52
Самая самая;Егор Крид;russian hip hop;2015;126;66;72;-6;33;72;231;1;5;52
Мама, я танцую;#2Маши;russian dance pop;2018;128;75;73;-5;11;14;252;4;22;52
Brain;BANKS;alternative r&b;2014;90;49;53;-9;13;8;282;27;3;52
Lay It All on Me;Rudimental;dance pop;2015;123;75;67;-7;19;48;242;14;4;52
